SKU,Product Name,Finish,Image File,Image Folder,Image Path,Sort Order,Section,Category
D56BAR,56 Baritone,Red Burst,danelectro_d56bar_red-burst.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bar_red-burst.png,3,Fretted Instruments,Specialty Guitars
D56BARLFTY-BLK,56 Baritone Lefty,Black,danelectro_d56barlfty-blk_black.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56barlfty-blk_black.png,1,Fretted Instruments,Specialty Guitars
LHBARI,Longhorn Baritone,Copperburst,danelectro_lhbari_copperburst.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_lhbari_copperburst.png,1,Fretted Instruments,Specialty Guitars
LHBARI,Longhorn Baritone,Blackburst,danelectro_lhbari_blackburst.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_lhbari_blackburst.png,2,Fretted Instruments,Specialty Guitars
66BT,‘66 Baritone,Transparent Blue,danelectro_66bt_transparent-blue.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_66bt_transparent-blue.png,1,Fretted Instruments,Electric Guitars
D59RBAR,Fifty Niner Baritone,Black,danelectro_d59rbar_black.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59rbar_black.png,1,Fretted Instruments,Specialty Guitars
D59RBAR,Fifty Niner Baritone,Jade,danelectro_d59rbar_jade.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59rbar_jade.png,2,Fretted Instruments,Specialty Guitars
DBSITAR,Baby Sitar,Sunburst,danelectro_dbsitar_sunburst.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbsitar_sunburst.png,1,Fretted Instruments,Specialty Guitars
DBSITAR,Baby Sitar,Red Crackle,danelectro_dbsitar_red-crackle.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbsitar_red-crackle.png,2,Fretted Instruments,Specialty Guitars
DBSITAR,Baby Sitar,Aqua,danelectro_dbsitar_aqua.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbsitar_aqua.png,3,Fretted Instruments,Specialty Guitars
COSITAR,Coral Sitar,Red Crackle,danelectro_cositar_red-crackle.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_cositar_red-crackle.png,1,Fretted Instruments,Specialty Guitars
COSITAR,Coral Sitar,Black Crackle,danelectro_cositar_black-crackle.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_cositar_black-crackle.png,2,Fretted Instruments,Specialty Guitars
COSITAR,Coral Sitar,White Crackle,danelectro_cositar_white-crackle.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_cositar_white-crackle.png,3,Fretted Instruments,Specialty Guitars
DLHBASS,Longhorn Bass,Copperburst,danelectro_dlhbass_copperburst.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dlhbass_copperburst.png,1,Fretted Instruments,Bass Guitars
DLHBASS,Longhorn Bass,Black,danelectro_dlhbass_black.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dlhbass_black.png,2,Fretted Instruments,Bass Guitars
D56BASS-BLK,56 Single Cut Bass,Black,danelectro_d56bass-blk_black.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bass-blk_black.png,1,Fretted Instruments,Bass Guitars
59SSB,59 DC Short Scale Bass,Copper,danelectro_59ssb_copper.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59ssb_copper.png,1,Fretted Instruments,Bass Guitars
59SSB,59 DC Short Scale Bass,Cream,danelectro_59ssb_cream.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59ssb_cream.png,2,Fretted Instruments,Bass Guitars
59SSB,59 DC Short Scale Bass,Black Metalflake,danelectro_59ssb_black-metalflake.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59ssb_black-metalflake.png,3,Fretted Instruments,Bass Guitars
D59DCBASS,59 DC Long Scale Bass,Black,danelectro_d59dcbass_black.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59dcbass_black.png,1,Fretted Instruments,Bass Guitars
D59DCBASS,59 DC Long Scale Bass,Copperburst,danelectro_d59dcbass_copperburst.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59dcbass_copperburst.png,2,Fretted Instruments,Bass Guitars
59RSSB-JADE,Fifty Niner Bass,Jade,danelectro_59rssb-jade_jade.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59rssb-jade_jade.png,1,Fretted Instruments,Bass Guitars
59RLSB-JADE,Fifty Niner Bass Lefty,Jade,danelectro_59rlsb-jade_jade.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59rlsb-jade_jade.png,1,Fretted Instruments,Bass Guitars
D58LHBLFT,Longhorn Bass Lefty,Copperburst,danelectro_d58lhblft_copperburst.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d58lhblft_copperburst.png,1,Fretted Instruments,Bass Guitars
D58LHB,Longhorn Semi-Hollow Bass,Red,danelectro_d58lhb_red.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d58lhb_red.png,1,Fretted Instruments,Bass Guitars
D58LHB,Longhorn Semi-Hollow Bass,Jade,danelectro_d58lhb_jade.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d58lhb_jade.png,2,Fretted Instruments,Bass Guitars
D58LHB,Longhorn Semi-Hollow Bass,Moonlight Delight,danelectro_d58lhb_moonlight-delight.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d58lhb_moonlight-delight.png,3,Fretted Instruments,Bass Guitars
D58LHB,Longhorn Semi-Hollow Bass,White,danelectro_d58lhb_white.png,Bass Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d58lhb_white.png,4,Fretted Instruments,Bass Guitars
ARIA-151LIL,Lil’ Aria,Orange Sunburst,aria_aria-151lil_orange-sunburst.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-151lil_orange-sunburst.jpg,1,Fretted Instruments,Acoustic Guitars
ARIA-151LIL,Lil’ Aria,Tobacco Sunburst,aria_aria-151lil_tobacco-sunburst.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-151lil_tobacco-sunburst.jpg,2,Fretted Instruments,Acoustic Guitars
ARIA-151LIL,Lil’ Aria,Natural,aria_aria-151lil_natural.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-151lil_natural.jpg,3,Fretted Instruments,Acoustic Guitars
